pressure,temperature,salinity,latitude,longitude,time,float_id,year,month,day,cluster
42.28,29.265,32.905,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
44.28,29.244,32.934,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
46.28,29.262,32.972,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
48.28,29.337,33.05,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
50.48,29.312,33.081,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
52.28,29.298,33.082,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
54.18,29.216,33.068,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
56.28,29.016,33.066,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
58.48,28.803,33.116,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
59.78,28.748,33.18,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
62.68,28.71,33.454,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
63.98,28.719,33.602,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
66.479996,28.286,33.811,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
68.18,28.074,33.926,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
70.18,27.987,33.943,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
72.28,27.856,33.982,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
74.479996,27.5,34.044,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
75.88,27.339,34.037,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
78.28,26.57,33.986,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
80.38,26.253,33.996,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
81.68,26.053,34.024,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
84.479996,25.464,34.124,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
85.88,25.275,34.179,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
88.18,24.85,34.218,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
90.28,24.552,34.243,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
92.18,24.331,34.322,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
94.18,23.992,34.389,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
96.28,23.681,34.453,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
98.28,23.555,34.511,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
0.27,27.006,31.507,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
1.97,27.007,31.507,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
4.37,26.985,31.506,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
5.77,26.764,31.492,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
7.97,26.381,31.451,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
9.97,26.31,31.438,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
11.97,26.276,31.449,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
13.97,26.242,31.466,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
15.97,26.211,31.471,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
17.97,26.192,31.47,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
19.97,26.187,31.476,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
21.97,26.179,31.477,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
23.97,26.164,31.475,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
25.97,26.105,31.463,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
27.97,26.009,31.443,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
29.97,25.841,31.406,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
31.97,25.684,31.378,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
33.97,25.63,31.383,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
35.97,25.722,31.442,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
37.97,26.05,31.599,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
40.07,26.155,31.663,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
42.07,26.216,31.706,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
43.97,26.249,31.737,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
45.97,26.173,31.739,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
47.97,26.192,31.8,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
49.97,26.227,31.835,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
51.670002,26.396,31.982,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
54.47,26.942,32.488,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
55.670002,26.996,32.67,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
58.47,27.154,32.949,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
59.670002,27.443,33.201,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
61.97,28.123,33.731,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
64.37,28.096,33.774,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
65.770004,27.994,33.816,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
67.87,27.765,33.927,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
69.97,27.56,34.001,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
71.97,27.374,34.042,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
73.770004,27.142,34.068,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
75.97,26.97,34.097,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
78.270004,26.661,34.187,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
79.57,26.614,34.219,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
81.97,26.139,34.289,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
84.270004,25.678,34.345,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
85.67,25.495,34.376,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
88.47,25.012,34.448,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
89.87,24.461,34.482,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
92.07,23.998,34.555,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
93.770004,23.463,34.595,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
95.87,23.219,34.612,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
97.97,22.882,34.634,16.1226,90.3162,2026-03-04 11:25:52.001216512,b'5907152 ',2026,3,4,0
